Lista	Valor	Valida		Lista 2	Valor	Valida	Raras		Lista 3	Valor	Valida
Ruegeria lacuscaerulensis	LISTA 1			streptomyces nitrosporeus	Lista 2	No esta en lista					
Ruegeria litorea	LISTA 1			streptomyces nodosus	Lista 2	LISTA 1					
Ruegeria mediterranea	LISTA 1			streptomyces nojiriensis	Lista 2	No esta en lista					
Ruegeria pomeroyi	LISTA 1			streptomyces olivaceus	Lista 2	No esta en lista					
Ruminococcus albus	LISTA 1			streptomyces paulus	Lista 2	No esta en lista					
Ruminococcus bromii	LISTA 1			streptomyces peucetius	Lista 2	LISTA 1					
Ruminococcus callidus	LISTA 1			streptomyces pseudovenezuelae	Lista 2	No esta en lista					
Ruminococcus champanellensis	LISTA 1			streptomyces pulveraceus	Lista 2	No esta en lista					
Ruminococcus flavefaciens	LISTA 1			streptomyces puniceus	Lista 2	No esta en lista					
Ruminococcus gauvreauii	LISTA 1			streptomyces samsunensis	Lista 2	No esta en lista					
Sabo orthobunyavirus	LISTA 1			streptomyces spectabilis	Lista 2	No esta en lista					
Saccharophagus degradans	LISTA 1			streptomyces tanashiensis	Lista 2	LISTA 1					
Saccharopolyspora erythraea	LISTA 1			streptomyces venezuelae	Lista 2	LISTA 1					
Saccharopolyspora rectivirgula	LISTA 1			streptomyces violaceochromogenes	Lista 2	No esta en lista					
Saccharopolyspora spinosa	LISTA 1			streptomyces violaceus	Lista 2	No esta en lista					
Sagittula stellata	LISTA 1			streptomyces violascens	Lista 2	No esta en lista					
Salipiger bermudensis	LISTA 1			streptomyces xinghaiensis	Lista 2	LISTA 1					
Salipiger mucosus	LISTA 1			streptomycetaceae	Lista 2	No esta en lista					
Salipiger thiooxidans	LISTA 1			streptosporangium	Lista 2	No esta en lista					
Salsuginibacillus kocurii	LISTA 1			streptosporangium violaceochromogenes	Lista 2	No esta en lista					
San Angelo orthobunyavirus	LISTA 1			subdoligranulum	Lista 2	No esta en lista					
Sango orthobunyavirus	LISTA 1			succinatimonas	Lista 2	No esta en lista					
Sanguibacter hominis	LISTA 1			succinivibrio	Lista 2	No esta en lista					
Sanguibacter keddieii	LISTA 1			sulfuricurvum	Lista 2	No esta en lista					
Sanguibacter suarezii	LISTA 1			sulfurimonas	Lista 2	No esta en lista					
Schmallenberg orthobunyavirus	LISTA 1			sulfurospirillum	Lista 2	No esta en lista					
Sediminibacterium salmoneum	LISTA 1			sutterella	Lista 2	No esta en lista					
Sedlec orthobunyavirus	LISTA 1			sutterella wadsworthensis	Lista 2	No esta en lista					
Segetibacter koreensis	LISTA 1			sweet potato	Lista 2	No esta en lista					
Segniliparus rotundus	LISTA 1			syncytium	Lista 2	No esta en lista					
Segniliparus rugosus	LISTA 1			synechococcus	Lista 2	No esta en lista					
Selenomonas artemidis	LISTA 1			synechococcus elongatus	Lista 2	No esta en lista					
Selenomonas bovis	LISTA 1			synechocystis	Lista 2	No esta en lista					
Selenomonas dianae	LISTA 1			synergistetes	Lista 2	No esta en lista					
Selenomonas flueggei	LISTA 1			tagetes	Lista 2	No esta en lista					
Selenomonas infelix	LISTA 1			tagetes erecta	Lista 2	No esta en lista					
Selenomonas noxia	LISTA 1			tanzanian	Lista 2	No esta en lista					
Selenomonas ruminantium	LISTA 1			tateyamaria	Lista 2	No esta en lista					
Selenomonas sp. oral taxon 137	LISTA 1			tenericutes	Lista 2	No esta en lista					
Selenomonas sp. oral taxon 138	LISTA 1			tepidimonas	Lista 2	No esta en lista					
Selenomonas sp. oral taxon 149	LISTA 1			tepidimonas ignava	Lista 2	No esta en lista					
Selenomonas sp. oral taxon 892	LISTA 1			terribacillus	Lista 2	No esta en lista					
Selenomonas sputigena	LISTA 1			tetragenococcus	Lista 2	No esta en lista					
Senegalimassilia anaerobia	LISTA 1			thauera	Lista 2	No esta en lista					
Serinicoccus marinus	LISTA 1			thermoanaerobacter	Lista 2	No esta en lista					
Serinicoccus profundi	LISTA 1			thermophilic	Lista 2	No esta en lista					
Serra do Navio orthobunyavirus	LISTA 1			thermophilic bacterium	Lista 2	No esta en lista					
Shark River orthobunyavirus	LISTA 1			thermus	Lista 2	No esta en lista					
Shigella boydii	LISTA 1			thermus thermophilus	Lista 2	No esta en lista					
Shigella dysenteriae	LISTA 1			thiobacillus	Lista 2	No esta en lista					
Shigella flexneri	LISTA 1			tissierella	Lista 2	No esta en lista					
Shigella genomosp. SF-2015	LISTA 1			tissierella praeacuta	Lista 2	No esta en lista					
Shigella sonnei	LISTA 1			tls	Lista 2	No esta en lista					
Shuni orthobunyavirus	LISTA 1			treponema	Lista 2	No esta en lista					
Siansivirga zeaxanthinifaciens	LISTA 1			treponema denticola	Lista 2	No esta en lista					
Sida golden buckup virus	LISTA 1			treponema pallidum	Lista 2	No esta en lista					
Sida golden mosaic Braco virus	LISTA 1			trichococcus	Lista 2	No esta en lista					
Sida golden mosaic Buckup virus	LISTA 1			trifolium	Lista 2	No esta en lista					
Sida golden mosaic Florida virus	LISTA 1			trueperella	Lista 2	No esta en lista					
Sida golden mosaic Liguanea virus	LISTA 1			tsukamurella	Lista 2	No esta en lista					
Sida golden mosaic virus	LISTA 1			tsukamurella pulmonis	Lista 2	No esta en lista					
Sida golden yellow vein virus	LISTA 1			tsukamurella tyrosinosolvens	Lista 2	No esta en lista					
Sida micrantha mosaic virus	LISTA 1			turicibacter	Lista 2	No esta en lista					
Sida mottle virus	LISTA 1			ulmus	Lista 2	No esta en lista					
Sida yellow mosaic China virus	LISTA 1			umezawaea	Lista 2	No esta en lista					
Sida yellow mosaic virus	LISTA 1			ureaplasma	Lista 2	No esta en lista					
Sida yellow mottle virus	LISTA 1			ureaplasma parvum	Lista 2	No esta en lista					
Sida yellow vein virus	LISTA 1			ureaplasma urealyticum	Lista 2	No esta en lista					
Siegesbeckia yellow vein virus	LISTA 1			vagococcus	Lista 2	No esta en lista					
Singulisphaera acidiphila	LISTA 1			vallitalea	Lista 2	No esta en lista					
Smaragdicoccus niigatensis	LISTA 1			vallitalea guaymasensis	Lista 2	No esta en lista					
Snodgrassella alvi	LISTA 1			variovorax	Lista 2	No esta en lista					
Snowshoe hare orthobunyavirus	LISTA 1			variovorax paradoxus	Lista 2	No esta en lista					
Sorangium cellulosum	LISTA 1			veillonella	Lista 2	No esta en lista					
Sororoca orthobunyavirus	LISTA 1			veillonella atypica	Lista 2	LISTA 1					
South African cassava mosaic virus	LISTA 1			veillonella dispar	Lista 2	LISTA 1					
Soybean crinkle leaf virus	LISTA 1			veillonella parvula	Lista 2	LISTA 1					
Species	LISTA 1			veillonellaceae	Lista 2	No esta en lista					
Sphingobacterium faecium	LISTA 1			verrucomicrobia	Lista 2	No esta en lista					
Sphingobacterium mizutaii	LISTA 1			verrucomicrobiaceae	Lista 2	No esta en lista					
Sphingobacterium multivorum	LISTA 1			verrucomicrobiales	Lista 2	No esta en lista					
Sphingobacterium paucimobilis	LISTA 1			verrucosispora	Lista 2	No esta en lista					
Sphingobacterium spiritivorum	LISTA 1			vibrio	Lista 2	No esta en lista					
Sphingobacterium thalpophilum	LISTA 1			vibrio alginolyticus	Lista 2	No esta en lista					
Sphingobium abikonense	LISTA 1			vibrio anguillarum	Lista 2	No esta en lista					
Sphingobium amiense	LISTA 1			vibrio cholerae	Lista 2	No esta en lista					
Sphingobium baderi	LISTA 1			vibrio fischeri	Lista 2	No esta en lista					
Sphingobium chlorophenolicum	LISTA 1			vibrio fluvialis	Lista 2	No esta en lista					
Sphingobium cloacae	LISTA 1			vibrio harveyi	Lista 2	No esta en lista					
Sphingobium cupriresistens	LISTA 1			vibrio metschnikovii	Lista 2	No esta en lista					
Sphingobium fuliginis	LISTA 1			vibrio parahaemolyticus	Lista 2	No esta en lista					
Sphingobium herbicidovorans	LISTA 1			vibrio vulnificus	Lista 2	No esta en lista					
Sphingobium indicum	LISTA 1			vibrionaceae	Lista 2	No esta en lista					
Sphingobium lactosutens	LISTA 1			victivallis	Lista 2	No esta en lista					
Sphingobium quisquiliarum	LISTA 1			virgibacillus	Lista 2	No esta en lista					
Sphingobium ummariense	LISTA 1			vitex	Lista 2	No esta en lista					
Sphingobium xenophagum	LISTA 1			vitex negundo	Lista 2	No esta en lista					
Sphingobium yanoikuyae	LISTA 1			vitiosangium	Lista 2	No esta en lista					
Sphingomonas adhaesiva	LISTA 1			vitiosangium cumulatum	Lista 2	No esta en lista					
Sphingomonas aestuarii	LISTA 1			vitis	Lista 2	No esta en lista					
Sphingomonas aquatilis	LISTA 1			vk	Lista 2	No esta en lista					
Sphingomonas asaccharolytica	LISTA 1			vogesella	Lista 2	No esta en lista					
Sphingomonas astaxanthinifaciens	LISTA 1			weissella	Lista 2	No esta en lista					
Sphingomonas azotifigens	LISTA 1			weissella cibaria	Lista 2	No esta en lista					
Sphingomonas changbaiensis	LISTA 1			weissella confusa	Lista 2	No esta en lista					
Sphingomonas echinoides	LISTA 1			wheat	Lista 2	No esta en lista					
Sphingomonas elodea	LISTA 1			wohlfahrtiimonas	Lista 2	No esta en lista					
Sphingomonas jaspsi	LISTA 1			wohlfahrtiimonas chitiniclastica	Lista 2	No esta en lista					
Sphingomonas koreensis	LISTA 1			wolbachia	Lista 2	No esta en lista					
Sphingomonas mali	LISTA 1			wolbachia endosymbiont	Lista 2	No esta en lista					
Sphingomonas melonis	LISTA 1			xanthomonas	Lista 2	No esta en lista					
Sphingomonas parapaucimobilis	LISTA 1			xanthomonas albilineans	Lista 2	No esta en lista					
Sphingomonas paucimobilis	LISTA 1			xanthomonas retroflexus	Lista 2	No esta en lista					
Sphingomonas phyllosphaerae	LISTA 1			xenophilus	Lista 2	No esta en lista					
Sphingomonas pituitosa	LISTA 1			xenorhabdus	Lista 2	No esta en lista					
Sphingomonas pruni	LISTA 1			xylella	Lista 2	No esta en lista					
Sphingomonas sanguinis	LISTA 1			xylella fastidiosa	Lista 2	No esta en lista					
Sphingomonas sanxanigenens	LISTA 1			yersinia	Lista 2	No esta en lista					
Sphingomonas soli	LISTA 1			yersinia enterocolitica	Lista 2	No esta en lista					
Sphingomonas trueperi	LISTA 1			yersinia kristensenii	Lista 2	No esta en lista					
Sphingomonas wittichii	LISTA 1			yersinia pestis	Lista 2	No esta en lista					
Sphingopyxis alaskensis	LISTA 1			yersinia pseudotuberculosis	Lista 2	No esta en lista					
Sphingopyxis granuli	LISTA 1			ziziphus	Lista 2	No esta en lista					
Sphingopyxis macrogoltabida	LISTA 1			ziziphus jujuba	Lista 2	No esta en lista					
Sphingopyxis terrae	LISTA 1			zooshikella	Lista 2	No esta en lista					
Spinach yellow vein virus	LISTA 1										
Spirosoma linguale	LISTA 1										
Spirosoma luteum	LISTA 1										
Spirosoma panaciterrae	LISTA 1										
Spirosoma spitsbergense	LISTA 1										
Spleen focus-forming virus	LISTA 1										
Spongiibacter marinus	LISTA 1										
Spongiibacter tropicus	LISTA 1										
Sporocytophaga myxococcoides	LISTA 1										
Squash leaf curl China virus	LISTA 1										
Squash leaf curl virus	LISTA 1										
Squash mild leaf curl virus	LISTA 1										
Sri Lankan cassava mosaic virus	LISTA 1										
Stachytarpheta leaf curl virus	LISTA 1										
Stigmatella aurantiaca	LISTA 1										
Streptomyces achromogenes	LISTA 1										
Streptomyces acidiscabies	LISTA 1										
Streptomyces afghaniensis	LISTA 1										
Streptomyces ahygroscopicus	LISTA 1										
Streptomyces albofaciens	LISTA 1										
Streptomyces albogriseolus	LISTA 1										
Streptomyces albosporeus	LISTA 1										
Streptomyces albulus	LISTA 1										
Streptomyces albus	LISTA 1										
Streptomyces ambofaciens	LISTA 1										
Streptomyces anandii	LISTA 1										
Streptomyces ansochromogenes	LISTA 1										
Streptomyces antibioticus	LISTA 1										
Streptomyces anulatus	LISTA 1										
Streptomyces argenteolus	LISTA 1										
Streptomyces aurantiacus	LISTA 1										
Streptomyces auratus	LISTA 1										
Streptomyces aureus	LISTA 1										
Streptomyces avermitilis	LISTA 1										
Streptomyces bellus	LISTA 1										
Streptomyces bingchenggensis	LISTA 1										
Streptomyces bottropensis	LISTA 1										
Streptomyces cacaoi	LISTA 1										
Streptomyces canus	LISTA 1										
Streptomyces carzinostaticus	LISTA 1										
Streptomyces cattleya	LISTA 1										
Streptomyces cavourensis	LISTA 1										
Streptomyces chartreusis	LISTA 1										
Streptomyces chrestomyceticus	LISTA 1										
Streptomyces cinereoruber	LISTA 1										
Streptomyces cinnamoneus	LISTA 1										
Streptomyces coelicoflavus	LISTA 1										
Streptomyces coelicolor	LISTA 1										
Streptomyces collinus	LISTA 1										
Streptomyces cyaneogriseus	LISTA 1										
Streptomyces cyanoglomerus	LISTA 1										
Streptomyces davaonensis	LISTA 1										
Streptomyces diastaticus	LISTA 1										
Streptomyces diastatochromogenes	LISTA 1										
Streptomyces drozdowiczii	LISTA 1										
Streptomyces exfoliatus	LISTA 1										
Streptomyces filamentosus	LISTA 1										
Streptomyces flavidovirens	LISTA 1										
Streptomyces flavotricini	LISTA 1										
Streptomyces fradiae	LISTA 1										
Streptomyces fulvissimus	LISTA 1										
Streptomyces galbus	LISTA 1										
Streptomyces gancidicus	LISTA 1										
Streptomyces globisporus	LISTA 1										
Streptomyces griseoaurantiacus	LISTA 1										
Streptomyces griseochromogenes	LISTA 1										
Streptomyces griseoflavus	LISTA 1										
Streptomyces griseovariabilis	LISTA 1										
Streptomyces griseus	LISTA 1										
Streptomyces halstedii	LISTA 1										
Streptomyces himalayensis	LISTA 1										
Streptomyces himastatinicus	LISTA 1										
Streptomyces humidus	LISTA 1										
Streptomyces hygroscopicus	LISTA 1										
Streptomyces hygrospinosus	LISTA 1										
Streptomyces ipomoeae	LISTA 1										
Streptomyces lavendulae	LISTA 1										
Streptomyces libani	LISTA 1										
Streptomyces lividans	LISTA 1										
Streptomyces lomondensis	LISTA 1										
Streptomyces lucensis	LISTA 1										
Streptomyces lusitanus	LISTA 1										
Streptomyces lydicus	LISTA 1										
Streptomyces lysosuperificus	LISTA 1										
Streptomyces malachiticus	LISTA 1										
Streptomyces mexicanus	LISTA 1										
Streptomyces mirabilis	LISTA 1										
Streptomyces misionensis	LISTA 1										
Streptomyces mobaraensis	LISTA 1										
Streptomyces mutabilis	LISTA 1										
Streptomyces naganishii	LISTA 1										
Streptomyces natalensis	LISTA 1										
Streptomyces niveus	LISTA 1										
Streptomyces nodosus	LISTA 1										
Streptomyces noursei	LISTA 1										
Streptomyces olivoreticuli	LISTA 1										
Streptomyces paraguayensis	LISTA 1										
Streptomyces parvulus	LISTA 1										
Streptomyces pentaticus	LISTA 1										
Streptomyces peucetius	LISTA 1										
Streptomyces phaeofaciens	LISTA 1										
Streptomyces phaeoverticillatus	LISTA 1										
Streptomyces pharetrae	LISTA 1										
Streptomyces platensis	LISTA 1										
Streptomyces polyantibioticus	LISTA 1										
Streptomyces polychromogenes	LISTA 1										
Streptomyces pratensis	LISTA 1										
Streptomyces pristinaespiralis	LISTA 1										
Streptomyces prunicolor	LISTA 1										
Streptomyces pseudogriseolus	LISTA 1										
Streptomyces purpureofuscus	LISTA 1										
Streptomyces purpureus	LISTA 1										
Streptomyces rapamycinicus	LISTA 1										
Streptomyces refuineus	LISTA 1										
Streptomyces rimosus	LISTA 1										
Streptomyces rochei	LISTA 1										
Streptomyces rosa	LISTA 1										
Streptomyces roseochromogenus	LISTA 1										
Streptomyces roseoverticillatus	LISTA 1										
Streptomyces rubellomurinus	LISTA 1										
Streptomyces rubrocyanodiastaticus	LISTA 1										
Streptomyces scabiei	LISTA 1										
Streptomyces scopuliridis	LISTA 1										
Streptomyces somaliensis	LISTA 1										
Streptomyces sp. No.67	LISTA 1										
Streptomyces sparsogenes	LISTA 1										
Streptomyces sudanensis	LISTA 1										
Streptomyces sulphureus	LISTA 1										
Streptomyces sviceus	LISTA 1										
Streptomyces tanashiensis	LISTA 1										
Streptomyces thermolilacinus	LISTA 1										
Streptomyces thermoluteus	LISTA 1										
Streptomyces thermoviolaceus	LISTA 1										
Streptomyces tsukubensis	LISTA 1										
Streptomyces turgidiscabies	LISTA 1										
Streptomyces variabilis	LISTA 1										
Streptomyces venezuelae	LISTA 1										
Streptomyces violaceusniger	LISTA 1										
Streptomyces viridochromogenes	LISTA 1										
Streptomyces viridosporus	LISTA 1										
Streptomyces vitaminophilus	LISTA 1										
Streptomyces xiamenensis	LISTA 1										
Streptomyces xinghaiensis	LISTA 1										
Streptomyces yeochonensis	LISTA 1										
Streptomyces zinciresistens	LISTA 1										
Streptosporangium amethystogenes	LISTA 1										
Streptosporangium roseum	LISTA 1										
Streptoverticillium reticulum	LISTA 1										
Streptoverticillium verticillium	LISTA 1										
Subdoligranulum variabile	LISTA 1										
Sulfurihydrogenibium azorense	LISTA 1										
Sulfurihydrogenibium subterraneum	LISTA 1										
Sulfurihydrogenibium yellowstonense	LISTA 1										
Sunn hemp leaf distortion virus	LISTA 1										
Sweet potato leaf curl Bengal virus	LISTA 1										
Sweet potato leaf curl China Sichuan virus	LISTA 1										
Sweet potato leaf curl China virus	LISTA 1										
Sweet potato leaf curl Georgia virus	LISTA 1										
Sweet potato leaf curl Henan virus	LISTA 1										
Sweet potato leaf curl Sao Paulo virus	LISTA 1										
Sweet potato leaf curl Uganda virus	LISTA 1										
Sweet potato leaf curl virus	LISTA 1										
Sweet potato mosaic virus	LISTA 1										
Tahyna orthobunyavirus	LISTA 1										
Tataguine orthobunyavirus	LISTA 1										
Taylorella asinigenitalis	LISTA 1										
Taylorella equigenitalis	LISTA 1										
Tensaw orthobunyavirus	LISTA 1										
Terriglobus roseus	LISTA 1										
Terriglobus saanensis	LISTA 1										
Terrimonas ferruginea	LISTA 1										
Tete orthobunyavirus	LISTA 1										
Tetragenococcus halophilus	LISTA 1										
Tetragenococcus muriaticus	LISTA 1										
Tetragenococcus solitarius	LISTA 1										
Tetrasphaera australiensis	LISTA 1										
Tetrasphaera japonica	LISTA 1										
Tetrasphaera jenkinsii	LISTA 1										
Thermoanaerobacter brockii	LISTA 1										
Thermoanaerobacter ethanolicus	LISTA 1										
Thermoanaerobacter indiensis	LISTA 1										
Thermoanaerobacter italicus	LISTA 1										
Thermoanaerobacter mathranii	LISTA 1										
Thermoanaerobacter pseudethanolicus	LISTA 1										
Thermoanaerobacter siderophilus	LISTA 1										
Thermoanaerobacter thermocopriae	LISTA 1										
Thermoanaerobacter thermohydrosulfuricus	LISTA 1										
Thermoanaerobacter uzonensis	LISTA 1										
Thermoanaerobacter wiegelii	LISTA 1										
Thermogladius calderae	LISTA 1										
Thermotoga caldifontis	LISTA 1										
Thermotoga maritima	LISTA 1										
Thermotoga naphthophila	LISTA 1										
Thermotoga neapolitana	LISTA 1										
Thermotoga petrophila	LISTA 1										
Thermotoga profunda	LISTA 1										
Thermotoga sp. RQ7	LISTA 1										
Thermovirga lienii	LISTA 1										
Timboteua orthobunyavirus	LISTA 1										
Tobacco apical stunt virus	LISTA 1										
Tobacco curly shoot virus	LISTA 1										
Tobacco curly top virus	LISTA 1										
Tobacco leaf curl Cuba virus	LISTA 1										
Tobacco leaf curl Japan virus	LISTA 1										
Tobacco leaf curl Kochi virus	LISTA 1										
Tobacco leaf curl Philippines virus	LISTA 1										
Tobacco leaf curl Yunnan virus	LISTA 1										
Tobacco mosaic virus	LISTA 1										
Tobacco yellow crinkle virus	LISTA 1										
Tomato brown rugose fruit virus	LISTA 1										
Tomato chino La Paz virus	LISTA 1										
Tomato chlorotic leaf distortion virus	LISTA 1										
Tomato chlorotic mottle virus	LISTA 1										
Tomato curly stunt virus	LISTA 1										
Tomato golden mosaic virus	LISTA 1										
Tomato golden mottle virus	LISTA 1										
Tomato leaf curl Bangalore virus	LISTA 1										
Tomato leaf curl Bangladesh virus	LISTA 1										
Tomato leaf curl Cameroon virus	LISTA 1										
Tomato leaf curl China virus	LISTA 1										
Tomato leaf curl Ghana virus	LISTA 1										
Tomato leaf curl Gujarat virus	LISTA 1										
Tomato leaf curl Hainan virus	LISTA 1										
Tomato leaf curl Hsinchu virus	LISTA 1										
Tomato leaf curl Japan virus	LISTA 1										
Tomato leaf curl Java virus	LISTA 1										
Tomato leaf curl Joydebpur virus	LISTA 1										
Tomato leaf curl Joydebpur virus-India	LISTA 1										
Tomato leaf curl Karnataka virus	LISTA 1										
Tomato leaf curl Kumasi virus	LISTA 1										
Tomato leaf curl Laos virus	LISTA 1										
Tomato leaf curl Madagascar virus	LISTA 1										
Tomato leaf curl New Delhi virus	LISTA 1										
Tomato leaf curl Nigeria virus	LISTA 1										
Tomato leaf curl Oman virus	LISTA 1										
Tomato leaf curl Pakistan virus	LISTA 1										
Tomato leaf curl Palampur virus	LISTA 1										
Tomato leaf curl Patna virus	LISTA 1										
Tomato leaf curl Philippines virus	LISTA 1										
Tomato leaf curl Pune virus	LISTA 1										
Tomato leaf curl Rajasthan virus	LISTA 1										
Tomato leaf curl Sudan virus	LISTA 1										
Tomato leaf curl Taiwan virus	LISTA 1										
Tomato leaf curl Togo virus	LISTA 1										
Tomato leaf curl Uganda virus	LISTA 1										
Tomato leaf curl virus	LISTA 1										
Tomato mild yellow leaf curl Aragua virus	LISTA 1										
Tomato mosaic Havana virus	LISTA 1										
Tomato mosaic virus	LISTA 1										
Tomato mottle leaf curl virus	LISTA 1										
Tomato mottle virus	LISTA 1										
Tomato rugose mosaic virus	LISTA 1										
Tomato severe leaf curl virus	LISTA 1										
Tomato wrinkled mosaic virus	LISTA 1										
Tomato yellow leaf curl Axarquia virus	LISTA 1										
Tomato yellow leaf curl China virus	LISTA 1										
Tomato yellow leaf curl Indonesia virus	LISTA 1										
Tomato yellow leaf curl Kanchanaburi virus	LISTA 1										
Tomato yellow leaf curl Mali virus	LISTA 1										
Tomato yellow leaf curl Sardinia virus	LISTA 1										
Tomato yellow leaf curl Shuangbai virus	LISTA 1										
Tomato yellow leaf curl Thailand virus	LISTA 1										
Tomato yellow leaf curl virus	LISTA 1										
Tomato yellow leaf distortion virus	LISTA 1										
Torque teno midi virus 1	LISTA 1										
Triniti orthobunyavirus	LISTA 1										
Trivittatus orthobunyavirus	LISTA 1										
Turlock orthobunyavirus	LISTA 1										
Uliginosibacterium gangwonense	LISTA 1										
Utinga orthobunyavirus	LISTA 1										
Vagococcus fluvialis	LISTA 1										
Vagococcus lutrae	LISTA 1										
Veillonella atypica	LISTA 1										
Veillonella denticariosi	LISTA 1										
Veillonella dispar	LISTA 1										
Veillonella magna	LISTA 1										
Veillonella montpellierensis	LISTA 1										
Veillonella parvula	LISTA 1										
Veillonella rogosae	LISTA 1										
Veillonella seminalis	LISTA 1										
Veillonella sp. oral taxon 158	LISTA 1										
Veillonella sp. oral taxon 780	LISTA 1										
Virgibacillus halodenitrificans	LISTA 1										
Watermelon chlorotic stunt virus	LISTA 1										
Wigglesworthia glossinidia	LISTA 1										
Winogradskyella lutea	LISTA 1										
Winogradskyella psychrotolerans	LISTA 1										
Wissadula golden mosaic virus	LISTA 1										
Withania mosaic India virus	LISTA 1										
Witwatersrand orthobunyavirus	LISTA 1										
Wolkberg orthobunyavirus	LISTA 1										
Wyeomyia orthobunyavirus	LISTA 1										
Youcai mosaic virus	LISTA 1										
Youngiibacter fragilis	LISTA 1										
Zegla orthobunyavirus	LISTA 1										
Zunongwangia atlantica	LISTA 1										
Zunongwangia profunda	LISTA 1										
[Brevibacterium] flavum	LISTA 1										
